,C14:0,C16:0,C16:1n7,C18:0,C18:1n9,C18:1n7,C18:2n6,C20:3n6,C20:4n6,C22:4n6,C22:5n6,C22:5n3,C22:6n3,C24:4n6,C24:5n6
F2_CTRL1,0.852623733,1.698721129,2.50944266,0.47618537,1.631983958,0.502694778,2.253171318,-0.803427471,0.419084502,-1.349775791,-0.504471739,-1.922117072,-0.449595001,-3.261825625,-2.052694751
F2_CTRL2,-0.364266134,-0.131214129,-0.616868026,-0.155468461,-0.298703697,-0.030668702,-0.314870005,0.233927636,0.04994669,0.117052485,0.360580118,-0.308937648,0.197645049,0.700790969,0.561053855
F2_CTRL3,-0.100481803,-0.541406729,-0.091700805,-0.176311935,-0.281834075,-0.087736028,-0.297843925,0.191966526,-0.211362988,0.183489046,-0.101007476,0.593824162,-0.028718614,0.597771773,0.35135287
F2_CTRL4,-0.633570839,-0.432529838,-0.837843164,-0.005211635,-0.311910791,-0.072304597,-0.615126851,0.295948264,0.043293648,0.390250483,0.198820819,0.365227108,0.190389112,0.834932394,0.589635886
F2_CTRL5,-0.289657979,-0.269596238,-0.716476472,0.102241383,-0.210697376,-0.059219242,-0.395202934,0.125813894,0.081794178,0.339128908,0.117216314,0.505937425,0.067359378,0.430375673,0.170983088
F2_CTRL6,0.535353022,-0.323974196,-0.246554193,-0.241434722,-0.52883802,-0.252766209,-0.630127604,-0.04422885,-0.38275603,0.319854869,-0.071138036,0.766066025,0.022920076,0.697954816,0.379669051
F2_HFD1,0.293838423,-0.060560883,-0.056433702,-0.00268965,0.031617817,-0.029149399,0.291989559,0.139113357,-0.037103411,0.031985161,-0.301687864,0.154161991,-0.250778911,-0.070133567,-0.134168921
F2_HFD2,0.009552758,0.264828298,-0.8016474,0.116642407,0.211610376,0.145696724,-0.121052895,0.250617376,0.246508209,0.246853946,0.008162666,-0.430006477,-0.136029967,0.034049202,-0.045785222
F2_HFD3,0.489705118,0.206253288,-0.946809657,-0.000687806,0.199715085,0.235405511,-0.650938171,0.330493887,0.056763854,0.258325349,-0.273049386,0.218247959,-0.458099475,0.165189506,0.169484938
F2_HFD4,0.428518715,0.653759865,-0.844178182,0.290564502,0.245607667,0.294934293,-0.35825548,0.282627283,0.355916357,-0.039626246,-0.239695422,0.240392806,-0.468591985,-0.478540315,-0.36343386
F2_HFD5,-0.258942079,-0.296967153,-1.034610814,-0.17147655,-0.186426836,-0.090619261,-0.337297785,0.36363825,-0.05544474,0.358307891,0.089228269,0.381453803,0.087166837,0.778263995,0.373726175
F2_HFD6,,,,,,,,,,,,,,,
F2_HFDt1,-0.178324914,-0.336656545,-1.081005107,-0.026250271,-0.293842805,-0.124407576,-0.45171869,0.319317926,0.048195503,0.367045937,0.088474444,0.285096203,-0.068149865,0.936374841,0.515850919
F2_HFDt2,-0.619948985,-0.209899437,-1.065293221,0.104706199,-0.279255165,-0.106835176,-0.683183628,0.226883566,0.199819696,0.340123799,0.363846585,0.050927892,0.14942395,0.858924353,0.669759572
F2_HFDt3,-0.652400803,-0.597014156,-1.527739752,-0.164619528,-0.470104684,-0.282902123,-0.605949884,0.514825925,0.111367372,0.532374932,0.335842723,0.60684227,0.377854574,1.088528093,0.733095039
F2_HFDt4,-0.675386122,-0.382955668,0.039098102,-0.072198408,-0.15737529,-0.243241331,0.226281657,0.017086633,0.018125063,0.07773667,0.209736635,-0.259167253,0.189275794,0.687219259,0.325764259
F2_HFDt5,-0.305168823,-0.091871936,-1.567341424,0.018888649,-0.205609888,-0.146074545,-0.574060487,0.24755007,0.103025326,0.364940576,0.349877691,0.177915502,0.246332267,0.796016475,0.585580549
F2_HFDt6,-0.507593176,-0.187688365,-1.145303672,0.083528497,-0.276416071,-0.15132563,-0.474413948,0.197036043,0.191445831,0.262860435,0.368584559,-0.004619129,0.255963927,0.883923772,0.504016926
